"Views","JavaScript Declaration","Shift+Alt+Q D","JavaScript View"
"Refactor - JavaScript","Extract Function","Shift+Alt+M","JavaScript View"
"Manifest Editor Source","Format Source","Shift+Ctrl+F","PDE editor"
"Run/Debug","Display","Shift+Ctrl+D","In Dialogs and Windows"
"File","Close","Ctrl+F4","In Windows"
"Visual Page Editor","Maximize/Restore Source Part","Shift+F6","Visual Page Editor"
"Visual Page Editor","Maximize/Restore Visual Part","Shift+Alt+F6","Visual Page Editor"
"Terminal view commands","Terminal view insert","Alt+S","Terminal widget context"
"Run/Debug","Add Memory Block","Ctrl+Alt+M","In Memory View"
"Terminal view commands","Terminal view insert","Alt+W","Terminal widget context"
"Run/Debug","Debug Eclipse Application","Shift+Alt+D E","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"SQL Editor","Execute SQL Statement","Ctrl+Enter","SQL Editor Context"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"View","Zoom In","Ctrl+=","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"File","Register As Service","Shift+Ctrl+F10","In Windows"
"Source","Organize Imports","Shift+Ctrl+O","JavaScript View"
"Navigate","Open Remote Task","Shift+Ctrl+Alt+F12","In Windows"
"Source","Toggle Comment","Ctrl+7","Editing Java Source"
"Edit","Word Completion","Alt+/","Editing Text"
"Edit","Remove Block Comment","Shift+Ctrl+\","Editing in Structured Text Editors"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Text Editing","Select Next Word","Shift+Ctrl+Right","Editing Text"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Refactor - JavaScript","Inline","Shift+Alt+I","JavaScript View"
"Run/Debug","Coverage SWTBot Test","Shift+Alt+E S","In Windows"
"WindowBuilder Pro","Empty command","Ctrl+Alt+A","WindowBuilder Java scope"
"Run/Debug","Debug JUnit Test","Shift+Alt+D T","In Windows"
"Edit","Previous Sibling","Shift+Ctrl+Up","Editing in Structured Text Editors"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing Java Source"
"Navigate","Next Page","Ctrl+F5","In Faces Config Editor"
"Uncategorized","Add Artifact to Target Platform","Shift+Ctrl+Alt+A","In Windows"
"Uncategorized","ShowInstaSearch","Alt+I","In Windows"
"Views","Show View (Error Log)","Shift+Alt+Q L","In Windows"
"Run/Debug","Run Java Applet","Shift+Alt+X A","In Windows"
"JavaScript Debug","JavaScript Breakpoint Properties","Ctrl+Enter","In Breakpoints View"
"Terminal view commands","Terminal view insert","Alt+R","Terminal widget context"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Text Editing","Previous Word","Ctrl+Left","Editing Text"
"Refactor - Java","Extract Method","Shift+Alt+M","In Windows"
"Edit","Move","Shift+Alt+V","Editing JSP Source"
"Source","Toggle Comment","Esc Ctrl+C","Editing JavaScript Source"
"Source","Toggle Comment","Ctrl+7","Editing JavaScript Source"
"Edit","Cut","Shift+Delete","In Dialogs and Windows"
"Run/Debug","Step Over","F6","Debugging"
"Task Repositories","Mark Task Read","Shift+Alt+R","In Tasks Editor"
"Source","Toggle Ant Mark Occurrences","Shift+Alt+O","Editing Ant Buildfiles"
"Edit","Rename","Shift+Alt+R","Editing JSP Source"
"File","New menu","Shift+Alt+N","In Windows"
"File","New","Ctrl+N","In Windows"
"Run/Debug","Run JUnit Plug-in Test","Shift+Alt+X P","In Windows"
"Views","Show View (Outline)","Shift+Alt+Q O","In Windows"
"Edit","Redo","Shift+Ctrl+Z","In Dialogs and Windows"
"Refactor - Java","Extract Local Variable","Shift+Alt+L","In Windows"
"Result Set","First row","Shift+Ctrl+Left","In Windows"
"Search","References in Workspace","Shift+Ctrl+G","In Windows"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Refactor - Java","Move - Refactoring ","Shift+Alt+V","In Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"File","Properties","Alt+Enter","In Windows"
"WindowBuilder Pro","Switch Source/Design Views","F12","Editing Text"
"Navigate","Open Plug-in Artifact","Shift+Ctrl+A","In Windows"
"Search","Declaration in Workspace","Ctrl+G","JavaScript View"
"Result Set","Reject changes","Ctrl+Alt+R","In Windows"
"SQL Editor","Execute New SQL Script","Ctrl+Alt+X","SQL Editor Context"
"Uncategorized","Content Format","Ctrl+Alt+F","In Windows"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Text Editing","Move Lines Down","Alt+Down","Editing Text"
"Text Editing","Select Line Start","Shift+Home","Editing Text"
"Run/Debug","Toggle Memory Monitors Pane","Ctrl+T","In Memory View"
"Run/Debug","Go to Address","Ctrl+G","In Table Memory Rendering"
"Terminal view commands","Terminal view insert","Alt+A","Terminal widget context"
"Navigate","Search Repository for Task","Shift+Ctrl+F12","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Source","Toggle Comment","Ctrl+/","Editing JavaScript Source"
"Source","Toggle Mark Occurrences","Shift+Alt+O","Editing JavaScript Source"
"Run/Debug","Terminate","Ctrl+F2","Debugging"
"Text Editing","Line End","End","Editing Text"
"Text Editing","Text End","Ctrl+End","Editing Text"
"Source","Remove Occurrence Annotations","Shift+Alt+U","Editing Java Source"
"Connection","Create Object","Numpad_Add","In Windows"
"Navigate","Go to Previous Member","Shift+Ctrl+Up","Editing JavaScript Source"
"Text Editing","Text Start","Ctrl+Home","Editing Text"
"Source","Organize Imports","Shift+Ctrl+O","In Windows"
"Run/Debug","Debug Ant Build","Shift+Alt+D Q","In Windows"
"Run/Debug","Debug OSGi Framework","Shift+Alt+D O","In Windows"
"Edit","Occurrences in File","Shift+Ctrl+A","Editing in Structured Text Editors"
"Run/Debug","Execute","Ctrl+U","In Windows"
"Source","Correct Indentation","Ctrl+I","Editing Java Source"
"Run/Debug","Debug JUnit Plug-in Test","Shift+Alt+D P","In Windows"
"Navigate","Previous Page","Shift+Ctrl+F5","In Faces Config Editor"
"SQL Editor","Open Declaration","F4","SQL Editor Context"
"Navigate","Go to Next Member","Shift+Ctrl+Down","Editing JavaScript Source"
"Views","Show View (Search)","Shift+Alt+Q S","In Windows"
"Edit","Incremental Find Reverse","Shift+Ctrl+J","Editing Text"
"Edit","Select Next Element","Shift+Alt+Right","Editing in Structured Text Editors"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Edit","Select Previous Element","Shift+Alt+Left","Editing JavaScript Source"
"Text Editing","Delete Line","Ctrl+D","Editing Text"
"SQL Editor","Explain Execution Plan","Shift+Ctrl+E","SQL Editor Context"
"Refactor - Java","Change Method Signature","Shift+Alt+C","In Windows"
"Text Editing","Collapse All","Shift+Ctrl+Numpad_Divide","Editing Text"
"Window","Select Maven Profiles","Ctrl+Alt+P","In Windows"
"Result Set","Apply changes","Ctrl+Alt+S","In Windows"
"File","Refresh","F5","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing JavaScript Source"
"Window","Next Perspective","Ctrl+F8","In Windows"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Git","Paste Repository Path or URI","Ctrl+V","In Git Repositories View"
"Server","Publish","Ctrl+Alt+P","In Servers View"
"Text Editing","Reset Structure","Shift+Ctrl+Numpad_Multiply","Editing Text"
"Run/Debug","Run Ant Build","Shift+Alt+X Q","In Windows"
"Source","Add Block Comment","Shift+Ctrl+/","Editing Java Source"
"Run/Debug","Force Return","Shift+Alt+F","In Windows"
"Run/Debug","Step Return","F7","Debugging"
"Navigate","Open External JSDoc","Shift+F2","JavaScript View"
"SonarQube","Analyze","Ctrl+Alt+Q","In Windows"
"Refactor - Java","Rename - Refactoring ","Shift+Alt+R","In Windows"
"Text Editing","Expand","Ctrl+Numpad_Add","Editing Text"
"Navigate","Open CDI Named Bean","Ctrl+Alt+Z","In Windows"
"Project","Build All","Ctrl+B","In Windows"
"Source","Format","Shift+Ctrl+F","Editing JavaScript Source"
"Window","Switch to Editor","Shift+Ctrl+E","In Windows"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Terminal view commands","Copy","Shift+Ctrl+C","Terminal widget context"
"Edit","Quick Fix","Ctrl+1","In Dialogs and Windows"
"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Source","Open External Documentation","Shift+F2","Editing Ant Buildfiles"
"Views","Show View (Declaration)","Shift+Alt+Q D","In Windows"
"Text Editing","Delete to End of Line","Shift+Ctrl+Delete","Editing Text"
"Search","Declaration in Workspace","Ctrl+G","In Windows"
"Source","Quick Assist - Assign to var","Ctrl+2 F","Editing JavaScript Source"
"Views","Show View (History)","Shift+Alt+Q Z","In Windows"
"Views","Documentation","Shift+Alt+Q J","JavaScript View"
"Text Editing","Select Line End","Shift+End","Editing Text"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Navigate","Open Type","Shift+Ctrl+T","In Windows"
"Navigate","Open Maven POM","Shift+Alt+P","In Windows"
"Terminal view commands","Terminal view insert","Alt+G","Terminal widget context"
"Source","Format","Esc Ctrl+F","Editing JavaScript Source"
"Text Editing","Line Start","Home","Editing Text"
"Run/Debug","All Instances","Shift+Ctrl+N","In Windows"
"Navigate","Show In...","Shift+Alt+W","In Windows"
"Navigate","Matching Character","Shift+Ctrl+P","Editing in Structured Text Editors"
"Run/Debug","Toggle Breakpoint","Shift+Ctrl+B","In Windows"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Edit","Paste","Ctrl+V","In Dialogs and Windows"
"Navigate","Go To Next Unread Task","Alt+Down","In Tasks View"
"Edit","Select Enclosing Element","Shift+Alt+Up","Editing in Structured Text Editors"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Run/Debug","EOF","Ctrl+D","In I/O Console"
"File","Close","Ctrl+W","In Windows"
"Task Repositories","Quick Outline","Ctrl+O","In Tasks Editor"
"Run/Debug","Run Maven Build","Shift+Alt+X M","In Windows"
"SQL Editor","Toggle Block Comment","Shift+Ctrl+/","SQL Editor Context"
"Run/Debug","Step Into","F5","Debugging"
"Git","Commit...","Ctrl+#","In Windows"
"Text Editing","Delete Previous Word","Ctrl+Backspace","Editing Text"
"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Views","JavaScript Script Explorer","Shift+Alt+Q P","JavaScript View"
"Task Repositories","New Local Task","Insert","In Tasks View"
"Result Set","Previous row","Ctrl+Left","In Windows"
"Result Set","Next row","Ctrl+Right","In Windows"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Run/Debug","Run on Server","Shift+Alt+X R","In Windows"
"Edit","Cut","Ctrl+X","In Dialogs and Windows"
"Refactor - JavaScript","Extract Local Variable","Shift+Alt+L","JavaScript View"
"Result Set","Copy row","Alt+Insert","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"Edit","Find and Replace","Ctrl+F","In Windows"
